duration,episode,episode_reward,soups,step
181.39861130714417,26.0,3.0,0.0,10400
214.69650316238403,27.0,3.0,0.0,10800
207.7502419948578,28.0,0.0,0.0,11200
241.4077649116516,29.0,0.0,0.0,11600
240.52447032928467,30.0,0.0,0.0,12000
199.9786958694458,31.0,0.0,0.0,12400
191.69656586647034,32.0,3.0,0.0,12800
210.14063215255737,33.0,9.0,0.0,13200
224.48591017723083,34.0,9.0,0.0,13600
250.769677400589,35.0,12.0,0.0,14000
233.9150972366333,36.0,9.0,0.0,14400
222.6079273223877,37.0,9.0,0.0,14800
224.3127133846283,38.0,43.0,1.0,15200
208.58106589317322,39.0,23.0,0.0,15600
217.13519668579102,40.0,60.0,1.0,16000
211.71056723594666,41.0,85.0,4.0,16400
213.51560711860657,42.0,57.0,2.0,16800
222.98707056045532,43.0,54.0,0.0,17200
213.91380763053894,44.0,34.0,1.0,17600
220.49077773094177,45.0,23.0,0.0,18000
202.8854672908783,46.0,20.0,0.0,18400
203.2229769229889,47.0,20.0,1.0,18800
216.1703290939331,48.0,34.0,0.0,19200
219.85891246795654,49.0,23.0,0.0,19600
218.74488472938538,50.0,23.0,0.0,20000
212.5665156841278,51.0,20.0,0.0,20400
224.2587387561798,52.0,34.0,1.0,20800
221.51406478881836,53.0,28.0,0.0,21200
216.2900059223175,54.0,37.0,0.0,21600
222.50241899490356,55.0,20.0,0.0,22000
228.47057962417603,56.0,37.0,0.0,22400
209.81256985664368,57.0,9.0,0.0,22800
214.67457556724548,58.0,34.0,0.0,23200
229.5815327167511,59.0,23.0,0.0,23600
233.29462671279907,60.0,40.0,0.0,24000
239.90820407867432,61.0,34.0,0.0,24400
210.7731261253357,62.0,34.0,0.0,24800
226.61094427108765,63.0,40.0,0.0,25200
241.82829117774963,64.0,9.0,0.0,25600
247.67172765731812,65.0,9.0,0.0,26000
278.3339755535126,66.0,37.0,0.0,26400
258.5921618938446,67.0,40.0,0.0,26800
257.7424314022064,68.0,34.0,0.0,27200
248.40622973442078,69.0,34.0,0.0,27600
242.32603073120117,70.0,12.0,0.0,28000
253.22292304039001,71.0,48.0,1.0,28400
269.3638217449188,72.0,14.0,0.0,28800
245.10658192634583,73.0,34.0,0.0,29200
238.28514647483826,74.0,23.0,0.0,29600
246.11626625061035,75.0,37.0,0.0,30000
248.2744538784027,76.0,40.0,0.0,30400
256.6385860443115,77.0,40.0,0.0,30800
244.79974150657654,78.0,40.0,0.0,31200
254.555184841156,79.0,25.0,0.0,31600
261.0727696418762,80.0,93.0,4.0,32000
240.50625371932983,81.0,76.0,2.0,32400
242.31989336013794,82.0,59.0,2.0,32800
226.06286191940308,83.0,33.0,0.0,33200
227.93398761749268,84.0,76.0,1.0,33600
242.0496063232422,85.0,84.0,3.0,34000
248.1786630153656,86.0,116.0,3.0,34400
241.87343645095825,87.0,40.0,1.0,34800
236.03192448616028,88.0,141.0,5.0,35200
231.557923078537,89.0,94.0,2.0,35600
223.96796107292175,90.0,59.0,0.0,36000
227.11564326286316,91.0,130.0,6.0,36400
245.64307475090027,92.0,121.0,5.0,36800
236.8591432571411,93.0,40.0,2.0,37200
232.8891270160675,94.0,23.0,1.0,37600
235.6713001728058,95.0,82.0,3.0,38000
230.26689219474792,96.0,23.0,1.0,38400
226.88966631889343,97.0,34.0,2.0,38800
231.47809839248657,98.0,17.0,0.0,39200
231.94232058525085,99.0,26.0,0.0,39600
248.51195359230042,100.0,51.0,3.0,40000
247.04973196983337,101.0,93.0,6.0,40400
251.6953718662262,102.0,6.0,0.0,40800
234.25946426391602,103.0,59.0,2.0,41200
230.98890781402588,104.0,42.0,2.0,41600
234.48662328720093,105.0,101.0,6.0,42000
236.51893424987793,106.0,34.0,2.0,42400
239.42249202728271,107.0,37.0,2.0,42800
