duration,episode,episode_reward,step

81.00618028640747,251.0,6.0,100400

83.55162954330444,252.0,0.0,100800

85.21706032752991,253.0,0.0,101200

82.54841923713684,254.0,3.0,101600

82.91957783699036,255.0,0.0,102000

85.16299676895142,256.0,3.0,102400

84.33208799362183,257.0,0.0,102800

85.83280777931213,258.0,11.0,103200

83.62223482131958,259.0,20.0,103600

85.65607523918152,260.0,20.0,104000

82.71553063392639,261.0,3.0,104400

80.36843776702881,262.0,6.0,104800

86.16615438461304,263.0,12.0,105200

84.05378317832947,264.0,12.0,105600

80.73888516426086,265.0,26.0,106000

82.72165060043335,266.0,12.0,106400

81.14276051521301,267.0,12.0,106800

83.36273860931396,268.0,23.0,107200

81.81799221038818,269.0,48.0,107600

82.15814089775085,270.0,20.0,108000

83.89854335784912,271.0,12.0,108400

82.06126689910889,272.0,20.0,108800

82.87678480148315,273.0,40.0,109200

82.57974219322205,274.0,3.0,109600

82.7070050239563,275.0,9.0,110000

82.49422121047974,276.0,12.0,110400

80.92345142364502,277.0,12.0,110800

83.93884181976318,278.0,9.0,111200

83.8473846912384,279.0,9.0,111600

83.92497754096985,280.0,12.0,112000

83.6795027256012,281.0,54.0,112400

82.41400933265686,282.0,12.0,112800

82.81055569648743,283.0,40.0,113200

81.58556580543518,284.0,40.0,113600

82.91980528831482,285.0,54.0,114000

82.59515929222107,286.0,40.0,114400

80.48784136772156,287.0,43.0,114800

81.876788854599,288.0,26.0,115200

80.87100720405579,289.0,26.0,115600

87.33891749382019,290.0,54.0,116000

84.77194237709045,291.0,26.0,116400

80.77740359306335,292.0,26.0,116800

81.16029167175293,293.0,54.0,117200

82.31206846237183,294.0,26.0,117600

79.39910650253296,295.0,26.0,118000

85.00143790245056,296.0,12.0,118400

82.51308608055115,297.0,9.0,118800

80.75601100921631,298.0,43.0,119200

82.15788125991821,299.0,54.0,119600

81.52292680740356,300.0,43.0,120000

80.87476944923401,301.0,43.0,120400

83.03400254249573,302.0,60.0,120800

83.28012895584106,303.0,43.0,121200

79.91400790214539,304.0,60.0,121600

80.7770345211029,305.0,77.0,122000

83.76302361488342,306.0,77.0,122400

80.89303064346313,307.0,54.0,122800

81.06599807739258,308.0,40.0,123200

82.23668622970581,309.0,60.0,123600

79.85884094238281,310.0,77.0,124000

85.50278186798096,311.0,60.0,124400

83.37592482566833,312.0,77.0,124800

82.20699095726013,313.0,60.0,125200

83.68460083007812,314.0,40.0,125600

80.41916632652283,315.0,54.0,126000

81.2654755115509,316.0,12.0,126400

81.67223334312439,317.0,12.0,126800

81.11961483955383,318.0,60.0,127200

81.29782605171204,319.0,43.0,127600

80.5827407836914,320.0,46.0,128000

81.02152824401855,321.0,46.0,128400

82.56179141998291,322.0,12.0,128800

82.79395031929016,323.0,40.0,129200

80.68183374404907,324.0,60.0,129600

81.9063491821289,325.0,57.0,130000

82.1536135673523,326.0,43.0,130400

81.26497983932495,327.0,54.0,130800

81.10170102119446,328.0,77.0,131200

82.52443480491638,329.0,60.0,131600

81.74630403518677,330.0,68.0,132000

81.33979344367981,331.0,40.0,132400

80.53191018104553,332.0,60.0,132800

84.11836290359497,333.0,153.0,133200

82.91265082359314,334.0,142.0,133600

81.46672773361206,335.0,128.0,134000

82.91903185844421,336.0,153.0,134400

79.89087438583374,337.0,162.0,134800

80.50838160514832,338.0,63.0,135200

82.79085350036621,339.0,104.0,135600

79.40836501121521,340.0,148.0,136000

81.59785842895508,341.0,65.0,136400

80.87280750274658,342.0,124.0,136800

81.37380266189575,343.0,155.0,137200

83.42500829696655,344.0,165.0,137600

81.98442196846008,345.0,88.0,138000

81.3332850933075,346.0,157.0,138400

82.30572581291199,347.0,190.0,138800

81.51409912109375,348.0,199.0,139200

79.64792895317078,349.0,124.0,139600

81.51799082756042,350.0,12.0,140000

81.52018308639526,351.0,12.0,140400

80.28115248680115,352.0,26.0,140800

80.55247139930725,353.0,54.0,141200

81.31936025619507,354.0,94.0,141600

81.6387779712677,355.0,128.0,142000

83.00286650657654,356.0,26.0,142400

80.3829276561737,357.0,124.0,142800

81.70635724067688,358.0,104.0,143200

82.33493900299072,359.0,12.0,143600

81.94264078140259,360.0,165.0,144000

82.56801128387451,361.0,138.0,144400

80.61218929290771,362.0,152.0,144800

80.45178532600403,363.0,160.0,145200

80.01510262489319,364.0,155.0,145600

80.76229405403137,365.0,163.0,146000

82.1616837978363,366.0,166.0,146400

80.94199967384338,367.0,143.0,146800

82.68651342391968,368.0,155.0,147200

81.8227071762085,369.0,156.0,147600

81.0937123298645,370.0,172.0,148000

80.6562385559082,371.0,160.0,148400

79.09001755714417,372.0,152.0,148800

81.97980952262878,373.0,155.0,149200

81.81888890266418,374.0,157.0,149600

78.78846740722656,375.0,169.0,150000

82.4527039527893,376.0,155.0,150400

82.73731112480164,377.0,166.0,150800

81.37676167488098,378.0,175.0,151200

81.95657420158386,379.0,115.0,151600

