duration,episode,episode_reward,soups,step
177.07965278625488,26.0,8.0,0.0,10400
171.90507888793945,27.0,3.0,0.0,10800
173.6161675453186,28.0,0.0,0.0,11200
187.6337103843689,29.0,11.0,0.0,11600
178.4279704093933,30.0,3.0,0.0,12000
200.6482229232788,31.0,28.0,1.0,12400
171.12750577926636,32.0,3.0,0.0,12800
193.61953043937683,33.0,20.0,0.0,13200
192.29062128067017,34.0,28.0,1.0,13600
193.49087810516357,35.0,18.0,0.0,14000
188.02735304832458,36.0,14.0,0.0,14400
193.27556157112122,37.0,8.0,0.0,14800
190.06873297691345,38.0,11.0,0.0,15200
188.9935474395752,39.0,21.0,0.0,15600
161.0751450061798,40.0,21.0,0.0,16000
162.3559536933899,41.0,15.0,0.0,16400
171.1140160560608,42.0,29.0,0.0,16800
170.7975561618805,43.0,21.0,0.0,17200
171.78119254112244,44.0,17.0,0.0,17600
171.48100090026855,45.0,18.0,0.0,18000
177.84815669059753,46.0,43.0,0.0,18400
181.55306220054626,47.0,32.0,0.0,18800
172.0706329345703,48.0,20.0,0.0,19200
166.589448928833,49.0,11.0,0.0,19600
167.81606793403625,50.0,26.0,0.0,20000
181.13529753684998,51.0,17.0,0.0,20400
161.87007546424866,52.0,34.0,0.0,20800
174.42147827148438,53.0,84.0,0.0,21200
189.60121512413025,54.0,42.0,0.0,21600
181.31412529945374,55.0,62.0,1.0,22000
175.64890694618225,56.0,34.0,0.0,22400
172.31543278694153,57.0,9.0,0.0,22800
169.24902248382568,58.0,12.0,0.0,23200
162.86062335968018,59.0,9.0,0.0,23600
159.77790427207947,60.0,12.0,0.0,24000
140.59505820274353,61.0,29.0,0.0,24400
145.49889421463013,62.0,21.0,0.0,24800
144.59753799438477,63.0,35.0,0.0,25200
143.12005877494812,64.0,21.0,0.0,25600
139.96070742607117,65.0,21.0,0.0,26000
141.6004934310913,66.0,18.0,0.0,26400
156.49233150482178,67.0,21.0,0.0,26800
140.50173020362854,68.0,21.0,0.0,27200
139.97112560272217,69.0,18.0,0.0,27600
140.53544640541077,70.0,38.0,0.0,28000
135.50492978096008,71.0,18.0,0.0,28400
137.03072428703308,72.0,18.0,0.0,28800
133.49644827842712,73.0,38.0,0.0,29200
154.2743411064148,74.0,21.0,0.0,29600
141.43945336341858,75.0,21.0,0.0,30000
150.00246620178223,76.0,18.0,0.0,30400
140.40889072418213,77.0,21.0,0.0,30800
147.5442819595337,78.0,21.0,0.0,31200
153.45192766189575,79.0,21.0,0.0,31600
169.3378655910492,80.0,35.0,1.0,32000
147.523029088974,81.0,21.0,0.0,32400
180.3620228767395,82.0,18.0,0.0,32800
160.13028621673584,83.0,21.0,0.0,33200
144.38321328163147,84.0,21.0,0.0,33600
134.17146515846252,85.0,35.0,0.0,34000
135.81597018241882,86.0,31.0,0.0,34400
143.63820838928223,87.0,31.0,0.0,34800
128.7687110900879,88.0,21.0,0.0,35200
131.64464473724365,89.0,21.0,0.0,35600
131.15314650535583,90.0,35.0,1.0,36000
129.440514087677,91.0,69.0,3.0,36400
133.71605396270752,92.0,31.0,0.0,36800
126.52883553504944,93.0,93.0,6.0,37200
138.23359179496765,94.0,65.0,2.0,37600
158.7533941268921,95.0,21.0,0.0,38000
149.08923935890198,96.0,116.0,3.0,38400
156.083482503891,97.0,21.0,0.0,38800
159.63833260536194,98.0,18.0,0.0,39200
136.33970594406128,99.0,18.0,0.0,39600
151.53795051574707,100.0,18.0,0.0,40000
150.5752890110016,101.0,21.0,0.0,40400
138.78696870803833,102.0,21.0,0.0,40800
134.24447083473206,103.0,21.0,0.0,41200
135.4582622051239,104.0,21.0,0.0,41600
139.0114574432373,105.0,21.0,0.0,42000
145.11169028282166,106.0,20.0,0.0,42400
123.89995765686035,107.0,21.0,0.0,42800
128.55119442939758,108.0,21.0,0.0,43200
120.56317043304443,109.0,21.0,0.0,43600
124.42050623893738,110.0,26.0,0.0,44000
120.53188610076904,111.0,23.0,0.0,44400
126.42440462112427,112.0,43.0,0.0,44800
120.34533929824829,113.0,29.0,1.0,45200
121.44205021858215,114.0,37.0,1.0,45600
127.77687382698059,115.0,37.0,1.0,46000
120.31317400932312,116.0,26.0,0.0,46400
135.83687782287598,117.0,46.0,1.0,46800
118.03768157958984,118.0,56.0,3.0,47200
121.48044180870056,119.0,100.0,3.0,47600
117.95197582244873,120.0,35.0,0.0,48000
121.17440938949585,121.0,127.0,6.0,48400
120.34050011634827,122.0,71.0,2.0,48800
122.00508213043213,123.0,110.0,2.0,49200
129.45739555358887,124.0,121.0,4.0,49600
137.02105069160461,125.0,48.0,2.0,50000
136.30715942382812,126.0,40.0,0.0,50400
127.6494038105011,127.0,37.0,0.0,50800
130.1755769252777,128.0,47.0,3.0,51200
128.3173851966858,129.0,54.0,0.0,51600
125.85101008415222,130.0,34.0,1.0,52000
117.85931372642517,131.0,26.0,0.0,52400
121.91057705879211,132.0,48.0,0.0,52800
135.89630794525146,133.0,26.0,0.0,53200
127.03997492790222,134.0,45.0,2.0,53600
135.1886167526245,135.0,48.0,0.0,54000
131.39331603050232,136.0,37.0,0.0,54400
128.8648979663849,137.0,48.0,1.0,54800
126.5657308101654,138.0,40.0,0.0,55200
119.13392400741577,139.0,40.0,0.0,55600
119.20545816421509,140.0,68.0,0.0,56000
124.3225634098053,141.0,102.0,3.0,56400
129.61412453651428,142.0,35.0,1.0,56800
129.55015420913696,143.0,77.0,3.0,57200
128.79497718811035,144.0,43.0,1.0,57600
127.17315578460693,145.0,31.0,1.0,58000
128.04621291160583,146.0,12.0,0.0,58400
129.88653802871704,147.0,26.0,0.0,58800
126.81058263778687,148.0,77.0,0.0,59200
131.29675483703613,149.0,79.0,0.0,59600
132.13533520698547,150.0,68.0,2.0,60000
131.01541256904602,151.0,43.0,0.0,60400
113.67241287231445,152.0,26.0,0.0,60800
113.2260332107544,153.0,35.0,0.0,61200
116.60159587860107,154.0,55.0,2.0,61600
131.96262097358704,155.0,57.0,1.0,62000
129.88112354278564,156.0,97.0,5.0,62400
132.72976064682007,157.0,63.0,3.0,62800
147.88128685951233,158.0,82.0,1.0,63200
144.28867387771606,159.0,119.0,7.0,63600
128.2125678062439,160.0,77.0,0.0,64000
128.4101197719574,161.0,68.0,0.0,64400
134.71685147285461,162.0,21.0,0.0,64800
128.7119243144989,163.0,29.0,0.0,65200
142.84078288078308,164.0,51.0,0.0,65600
142.07225632667542,165.0,63.0,1.0,66000
132.91253876686096,166.0,37.0,2.0,66400
125.91913151741028,167.0,60.0,0.0,66800
129.40418338775635,168.0,74.0,0.0,67200
122.06068181991577,169.0,88.0,1.0,67600
119.97695684432983,170.0,87.0,3.0,68000
126.80238652229309,171.0,59.0,1.0,68400
120.52450919151306,172.0,54.0,1.0,68800
118.14792704582214,173.0,68.0,0.0,69200
117.17746472358704,174.0,119.0,6.0,69600
120.5766704082489,175.0,135.0,6.0,70000
124.82845139503479,176.0,74.0,2.0,70400
120.98310542106628,177.0,102.0,6.0,70800
122.21758580207825,178.0,96.0,5.0,71200
118.35031747817993,179.0,77.0,3.0,71600
121.61718392372131,180.0,59.0,2.0,72000
129.15653276443481,181.0,40.0,2.0,72400
120.41779136657715,182.0,124.0,7.0,72800
120.04725790023804,183.0,73.0,0.0,73200
126.52602458000183,184.0,59.0,0.0,73600
120.13591432571411,185.0,93.0,2.0,74000
116.28211259841919,186.0,71.0,0.0,74400
122.5149290561676,187.0,77.0,1.0,74800
126.64139485359192,188.0,121.0,3.0,75200
117.76009368896484,189.0,57.0,2.0,75600
118.49990320205688,190.0,26.0,0.0,76000
112.62437105178833,191.0,86.0,3.0,76400
116.05040407180786,192.0,57.0,1.0,76800
112.2948751449585,193.0,75.0,4.0,77200
113.4972996711731,194.0,84.0,2.0,77600
121.31916952133179,195.0,125.0,7.0,78000
131.7296690940857,196.0,119.0,3.0,78400
131.42201280593872,197.0,45.0,2.0,78800
127.42692375183105,198.0,93.0,3.0,79200
129.15557980537415,199.0,31.0,1.0,79600
127.6068787574768,200.0,92.0,3.0,80000
139.17075657844543,201.0,95.0,4.0,80400
143.59721159934998,202.0,120.0,6.0,80800
131.45323014259338,203.0,32.0,0.0,81200
123.45882153511047,204.0,26.0,0.0,81600
117.02922534942627,205.0,32.0,0.0,82000
112.51507568359375,206.0,40.0,1.0,82400
112.06554841995239,207.0,39.0,0.0,82800
111.51241374015808,208.0,32.0,0.0,83200
112.91187596321106,209.0,34.0,0.0,83600
110.40650177001953,210.0,43.0,1.0,84000
114.52322673797607,211.0,49.0,0.0,84400
127.30981826782227,212.0,49.0,1.0,84800
127.53178000450134,213.0,96.0,4.0,85200
127.74033617973328,214.0,54.0,3.0,85600
126.84446716308594,215.0,121.0,6.0,86000
126.43618869781494,216.0,124.0,7.0,86400
117.02688813209534,217.0,76.0,2.0,86800
112.73532390594482,218.0,133.0,7.0,87200
111.64166593551636,219.0,32.0,0.0,87600
111.44984769821167,220.0,37.0,1.0,88000
111.05052900314331,221.0,53.0,2.0,88400
112.16875576972961,222.0,65.0,0.0,88800
110.54403853416443,223.0,115.0,4.0,89200
110.93149447441101,224.0,96.0,2.0,89600
117.1731607913971,225.0,135.0,5.0,90000
129.06652998924255,226.0,127.0,6.0,90400
126.70838594436646,227.0,67.0,3.0,90800
128.39806294441223,228.0,81.0,3.0,91200
127.10333061218262,229.0,67.0,3.0,91600
125.03598666191101,230.0,139.0,13.0,92000
127.03555607795715,231.0,105.0,6.0,92400
125.7257251739502,232.0,120.0,9.0,92800
126.15530109405518,233.0,110.0,2.0,93200
127.60071206092834,234.0,37.0,0.0,93600
131.03791403770447,235.0,48.0,1.0,94000
125.81259512901306,236.0,21.0,0.0,94400
126.17558932304382,237.0,28.0,0.0,94800
126.15440249443054,238.0,56.0,0.0,95200
109.48095273971558,239.0,37.0,1.0,95600
111.75645232200623,240.0,20.0,0.0,96000
110.41791558265686,241.0,48.0,2.0,96400
110.71917700767517,242.0,72.0,2.0,96800
111.19258069992065,243.0,78.0,2.0,97200
111.15733671188354,244.0,88.0,2.0,97600
110.73711776733398,245.0,54.0,2.0,98000
112.60957431793213,246.0,20.0,0.0,98400
113.87268280982971,247.0,31.0,0.0,98800
112.29351782798767,248.0,37.0,0.0,99200
111.74012351036072,249.0,51.0,0.0,99600
110.84997272491455,250.0,15.0,0.0,100000
111.27060103416443,251.0,65.0,4.0,100400
109.94051027297974,252.0,26.0,0.0,100800
109.90334486961365,253.0,28.0,0.0,101200
110.70201992988586,254.0,21.0,0.0,101600
121.62582516670227,255.0,54.0,0.0,102000
129.5394160747528,256.0,31.0,0.0,102400
122.59781265258789,257.0,40.0,0.0,102800
112.03250169754028,258.0,31.0,1.0,103200
110.82965207099915,259.0,31.0,1.0,103600
108.55438160896301,260.0,31.0,0.0,104000
110.84163188934326,261.0,26.0,0.0,104400
109.73674774169922,262.0,34.0,0.0,104800
108.99741458892822,263.0,54.0,1.0,105200
110.81507682800293,264.0,31.0,0.0,105600
113.58349943161011,265.0,34.0,0.0,106000
127.34912896156311,266.0,68.0,1.0,106400
125.9883964061737,267.0,78.0,1.0,106800
126.90884160995483,268.0,61.0,1.0,107200
125.71863913536072,269.0,20.0,0.0,107600
125.81292796134949,270.0,42.0,3.0,108000
129.18920397758484,271.0,29.0,0.0,108400
126.62179017066956,272.0,18.0,0.0,108800
108.85622572898865,273.0,34.0,1.0,109200
110.09489893913269,274.0,21.0,0.0,109600
111.03973746299744,275.0,17.0,0.0,110000
110.90569281578064,276.0,20.0,0.0,110400
110.9588942527771,277.0,17.0,0.0,110800
110.26711821556091,278.0,17.0,0.0,111200
111.34686779975891,279.0,31.0,1.0,111600
110.59425210952759,280.0,54.0,1.0,112000
125.59381461143494,281.0,39.0,1.0,112400
126.26382422447205,282.0,17.0,0.0,112800
126.92986798286438,283.0,57.0,1.0,113200
111.04488754272461,284.0,0.0,0.0,113600
108.82033920288086,285.0,0.0,0.0,114000
109.56949925422668,286.0,0.0,0.0,114400
113.40768909454346,287.0,0.0,0.0,114800
111.50459504127502,288.0,0.0,0.0,115200
109.60082340240479,289.0,0.0,0.0,115600
109.183669090271,290.0,0.0,0.0,116000
110.60350513458252,291.0,0.0,0.0,116400
126.09409523010254,292.0,0.0,0.0,116800
124.43563604354858,293.0,0.0,0.0,117200
125.66548371315002,294.0,0.0,0.0,117600
125.3724114894867,295.0,0.0,0.0,118000
126.6540789604187,296.0,0.0,0.0,118400
127.62416887283325,297.0,0.0,0.0,118800
126.46597385406494,298.0,0.0,0.0,119200
125.64381670951843,299.0,0.0,0.0,119600
125.41600751876831,300.0,0.0,0.0,120000
129.16416692733765,301.0,0.0,0.0,120400
121.4955153465271,302.0,6.0,0.0,120800
112.0279803276062,303.0,6.0,0.0,121200
109.98341155052185,304.0,14.0,0.0,121600
109.89725708961487,305.0,6.0,0.0,122000
111.72033405303955,306.0,14.0,0.0,122400
109.33674311637878,307.0,6.0,0.0,122800
109.51391887664795,308.0,6.0,0.0,123200
109.64272212982178,309.0,6.0,0.0,123600
110.23113656044006,310.0,20.0,0.0,124000
126.873281955719,311.0,17.0,0.0,124400
126.14713287353516,312.0,17.0,0.0,124800
126.43522930145264,313.0,6.0,0.0,125200
125.1212511062622,314.0,17.0,1.0,125600
125.77313876152039,315.0,12.0,0.0,126000
